Category,Quantity,References,Value,PCB Package
Capacitors,26,"C1-C6,C8-C17,C20-C29",0u1,CAP2012
Capacitors,1,C7,100p,CAP2012
Capacitors,2,C18-C19,10u,CAPPRD200W45D500H800
Resistors,4,"R1,R7,R85-R86",330k,RES2012
Resistors,14,"R2-R5,R13,R27,R39,R43,R53,R66-R68,R76,R84",1k,RES2012
Resistors,19,"R6,R8-R12,R26,R41-R42,R52,R62-R65,R69,R74,R77,R82-R83",10k,RES2012
Resistors,10,"R14,R16,R34,R71,R73,R75,R78-R81",100k,RES2012
Resistors,3,"R15,R70,R72",1M,RES2012
Resistors,16,"R17-R20,R29-R32,R44-R47,R54-R57",510k,RES2012
Resistors,17,"R21-R24,R28,R35-R38,R48-R51,R58-R61",25k,RES2012
Resistors,1,R25,2k,RES2012
Resistors,1,R33,5k,RES2012
Resistors,1,R40,2k2,RES2012
Integrated Circuits,2,"U1,U11",574UD2V,3101.8-1-WIDE
Integrated Circuits,3,"U2,U9-U10",521SA301,3101.8-1-WIDE
Integrated Circuits,1,U3,564TM2,401.14-5M-NOPAD
Integrated Circuits,2,U4-U5,564ID1,402.16-33
Integrated Circuits,1,U6,564LN2,401.14-5M-NOPAD
Integrated Circuits,2,U7-U8,564AG1,402.16-33
Transistors,34,Q1-Q34,KT232A9,KT-46
Diodes,16,D1-D16,LED,3L341
Diodes,8,D17-D24,KD704AS9,KT-46
Diodes,2,D25-D26,KD629AS9,KT-46
Miscellaneous,6,J1-J6,PJ301M,PJ301M
Miscellaneous,4,J7-J10,PLS-8,PLS-8
Miscellaneous,2,"RV1,RV22",100k,CA6V
Miscellaneous,3,"RV2,RV19-RV20",1M,RD901F
Miscellaneous,17,"RV3-RV18,RV21",100k,RD901F
Miscellaneous,8,SW1-SW8,12X12-SW,12X12-SW
Miscellaneous,10,SW9-SW18,MTS-102,MTS-102
